business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score
Desert Bloom Family Practice,Tucson,AZ,22,3.18,50.0,0.1818,0.0455,-0.0909,-0.0909,0.0455,0.0909
Desert Bloom Obstetrics,Tucson,AZ,47,2.85,46.81,-0.1277,0.1064,-0.2128,-0.1702,-0.2128,-0.0426
Desert Bloom Re-Leaf Center,Tucson,AZ,45,3.11,48.89,-0.0222,0.2222,0.0667,0.0222,-0.0444,0.0444
Desert Palms Physical Therapy Movement Studio Institute,Tucson,AZ,23,4.09,78.26,0.2609,0.2609,-0.0435,0.1739,0.087,0.087
Desert Valley Dental,Reno,NV,66,3.42,60.61,0.0303,0.2424,0.0303,-0.0152,-0.0455,0.1818
Designer Eyes,Philadelphia,PA,35,3.74,68.57,0.0857,0.3143,0.1714,-0.1143,0.0,0.0286
Detweiler Family Medicine,Lansdale,PA,42,3.0,50.0,0.0714,-0.0238,-0.1429,-0.1667,-0.0238,-0.0952
Diagnostic Clinic Medical Group,Clearwater,FL,85,1.98,22.35,-0.4118,-0.1412,-0.3176,-0.2471,-0.2353,-0.1529
Diagnostic Clinic Medical Group - Largo,Largo,FL,76,2.53,34.21,-0.2763,-0.0263,-0.1842,-0.2105,-0.2105,-0.1974
Diamond Eyecare,Tucson,AZ,21,3.29,57.14,0.0476,0.1429,0.0476,0.1429,-0.1905,-0.0476
Digestive Health Associates,Reno,NV,50,2.08,26.0,-0.42,-0.3,-0.3,-0.24,-0.26,-0.34
Digestive Health Clinic,Boise,ID,31,3.48,58.06,0.1613,0.3226,-0.0645,0.0323,0.0323,0.129
Diggerland USA,West Berlin,NJ,160,3.49,51.25,0.025,0.0812,0.0438,0.0625,-0.0562,0.2188
Discount Cab,Tucson,AZ,96,1.59,12.5,-0.0833,-0.0312,-0.0833,-0.4375,-0.3542,-0.0312
Divine Align Massage & Yoga,Santa Barbara,CA,41,4.9,97.56,0.1951,0.1951,0.0,0.122,0.122,0.0732
Divinity Med Spa,Spring Hill,FL,24,4.17,79.17,0.2917,0.5,0.0,0.125,0.0833,0.25
Doc Bresler's Cavity Busters,Jenkintown,PA,21,3.67,61.9,0.1905,0.0,-0.0476,0.1429,-0.1905,0.1429
Doc Bresler's Cavity Busters,Philadelphia,PA,64,1.84,20.31,-0.2656,-0.1875,-0.3281,-0.25,-0.3438,-0.4219
DocMJ,Clearwater,FL,34,3.65,64.71,0.2941,0.0588,0.0,0.0588,0.1471,0.0294
DocMJ,Tampa,FL,21,3.95,71.43,0.1905,0.1905,0.0,0.1429,0.0952,0.0952
Doctor's Best Immediate Medical Care,Berwyn,PA,23,3.09,47.83,0.087,0.0,0.0435,-0.2174,-0.087,0.1739
Doctor's Urgent Care,Palm Harbor,FL,40,3.92,72.5,0.25,0.4,0.125,0.25,0.075,0.1
Dolce Vita Wellness & Medical Spa,Reno,NV,285,4.51,87.72,0.207,0.3754,0.0456,0.207,0.1228,0.2491
Donelson EyeCare,Nashville,TN,22,4.27,81.82,0.5,0.4091,0.1364,0.0909,0.0909,0.2273
Donelson Massage Center,Nashville,TN,115,4.66,92.17,0.0348,0.313,0.1652,0.1217,0.1217,0.2522
Donelson Smiles Dentistry,Nashville,TN,33,3.0,45.45,0.0606,0.2121,-0.0606,-0.0909,-0.0606,-0.2121
Double Diamond Athletic Club,Reno,NV,71,3.13,53.52,-0.0141,0.1831,0.0,-0.0141,-0.1408,0.2394
Double Edge Fitness - Midtown,Reno,NV,34,4.85,97.06,0.0294,0.7059,0.0588,0.2353,0.0294,0.7059
Doubletree by Hilton Tampa Airport - Westshore,Tampa,FL,69,2.51,28.99,-0.087,-0.1014,-0.0435,-0.1594,-0.087,-0.1739
"Douglas J Mackenzie, MD, FACS",Santa Barbara,CA,31,3.87,70.97,0.1613,0.4194,-0.0645,0.0,0.129,0.1935
Douglas Jacobson MD at Sansum Clinic Eye Center,Santa Barbara,CA,24,4.54,87.5,0.5833,0.5833,0.0,0.1667,0.375,0.2083
Dove Mountain Chiropractic and Massage,Tucson,AZ,23,4.74,91.3,0.2174,0.4348,0.0,0.1304,0.3478,0.2174
Downtown Community Acupuncture,Santa Barbara,CA,25,4.8,96.0,0.6,0.2,0.24,0.16,0.24,0.12
Downtown Dental,Nashville,TN,56,4.3,82.14,0.1964,0.5357,-0.0179,0.0714,0.1429,0.375
Downtown Vision,Reno,NV,31,4.48,90.32,0.4839,0.6129,0.1613,0.0968,0.2581,0.3226
Doylestown Health - Doylestown Hospital,Doylestown,PA,57,3.02,47.37,-0.0526,0.1053,-0.1053,-0.0702,-0.1579,-0.0351
Doylestown Health: Urgent Care,Doylestown,PA,30,3.67,66.67,0.2333,0.4667,-0.0333,-0.0333,-0.1,0.2667
Doylestown Women's Health Center,Doylestown,PA,25,2.68,40.0,-0.2,-0.28,-0.16,-0.16,-0.12,-0.36
Dr Kori - Chiropractic,Santa Barbara,CA,22,4.82,95.45,0.3182,0.3636,0.1364,0.1364,0.4091,0.1364
Dr Melman's Eyeland,Voorhees,NJ,25,4.52,88.0,0.36,0.6,0.16,0.24,0.12,0.32
Dr Reeferalz,Tucson,AZ,40,3.65,65.0,0.15,0.2,0.05,0.0,0.0,0.175
Dr. JAW Orthodontists,Oro Valley,AZ,34,4.76,94.12,0.4118,0.6471,0.0882,0.0882,0.1176,0.2941
Dr. JAW Orthodontists,Tucson,AZ,43,4.7,90.7,0.3488,0.7674,0.186,0.2326,0.186,0.2791
Dr. Jennifer L. Shane & Associates,Reno,NV,23,4.57,86.96,0.1739,0.4348,0.1304,0.087,0.3913,0.3913
Dr. K's Med Spa,Largo,FL,27,4.15,77.78,0.3704,0.5556,-0.1481,0.0,0.1111,0.1852
Dr. Urshan Health & Weight Loss Center,Tampa,FL,39,3.31,56.41,-0.1282,0.1282,-0.1538,0.0,-0.0513,0.0256
Drexel Family Medicine - Tower Health,Philadelphia,PA,25,2.4,36.0,-0.36,0.0,-0.16,-0.16,-0.24,-0.16
Drexel Medicine Convenient Care Center,Philadelphia,PA,27,3.04,44.44,-0.0741,0.037,0.037,0.1111,-0.0741,0.1111
Drexel Recreation Center,Philadelphia,PA,29,3.72,68.97,0.0,0.069,-0.0345,0.1034,0.0,0.4138
Drs Page and Ward,Philadelphia,PA,24,4.71,91.67,0.4583,0.625,0.1667,0.1667,0.4167,0.4167
Duncan Family Healthcare,Reno,NV,43,2.72,39.53,-0.0698,-0.093,-0.093,-0.186,0.0233,-0.0233
E Cigs International,Philadelphia,PA,21,4.52,85.71,0.0476,0.381,0.3333,0.0952,0.1429,0.1429
EXPRESS SCRIPTS,St. Louis,MO,224,1.09,1.34,-0.4821,-0.1786,-0.4955,-0.3527,-0.2812,-0.1161
Eagle Day Spa,Eagle,ID,35,4.37,82.86,0.0571,0.3714,-0.0286,0.0571,-0.0571,0.1429
Eagle Eye Vision Care,Tampa,FL,26,4.73,92.31,0.6923,0.5769,0.2692,0.0385,0.2692,0.3077
Eagle Fitness,Sparks,NV,30,3.07,53.33,0.0667,0.1667,-0.1,0.0,-0.0667,0.1333
Earth's Healing North,Tucson,AZ,64,3.39,57.81,0.0,0.1875,-0.0156,-0.0781,-0.0469,0.0938
EarthSavers,New Orleans,LA,60,3.68,63.33,0.0,0.1333,0.1,0.0333,-0.0833,0.0167
Earthsavers,Metairie,LA,90,3.3,54.44,0.0667,0.1,-0.1222,-0.0111,-0.0778,-0.0333
East Coast Float Spa,West Chester,PA,25,4.6,92.0,0.12,0.56,0.08,0.28,0.2,0.64
East Falls Eye Associates,Philadelphia,PA,24,4.38,83.33,0.4583,0.5,0.2917,0.2083,0.125,0.2083
East Jefferson General Hospital,Metairie,LA,53,2.58,33.96,-0.1132,-0.1509,-0.1887,-0.1698,-0.0943,-0.1132
East Nashville Family Medicine,Nashville,TN,41,3.54,56.1,0.1707,0.2195,0.0,0.122,-0.0488,0.0488
East Side Smiles,Nashville,TN,43,4.19,76.74,0.186,0.4419,0.1163,0.1395,0.1628,0.4419
East To West Massage Therapy,St Petersburg,FL,20,5.0,100.0,0.05,0.45,0.15,0.15,0.15,0.3
Eastern Dental - Burlington,Cinnaminson,NJ,32,1.84,18.75,-0.25,-0.2188,-0.0938,-0.5312,-0.3438,-0.4375
Eastern Dental - Ewing,Ewing,NJ,25,1.92,20.0,-0.16,-0.24,-0.28,-0.44,-0.24,-0.36
Eastern Dental - Laurel Springs,Laurel Springs,NJ,24,4.08,70.83,0.2083,0.4583,0.0417,0.2083,0.25,0.375
Eastern Dental - Marlton,Marlton,NJ,30,3.23,50.0,-0.0333,0.0667,-0.2333,-0.1,0.0,-0.0333
Eastern Relax,Maple Shade,NJ,32,3.84,71.88,0.0625,0.0938,0.0938,0.0938,0.0,0.1562
Eden Medical Spa,Wayne,PA,23,1.43,4.35,-0.3913,-0.2174,-0.2609,-0.2174,-0.2174,-0.1304
Edmondson Pike Family Practice & Walk-in Clinic,Nashville,TN,33,3.85,69.7,0.303,0.2727,-0.0303,0.1818,0.0303,0.0606
Eduardo Yibrin,New Orleans,LA,22,5.0,100.0,0.1818,0.1364,0.0,0.1818,0.2273,0.0455
Einstein Medical Center Montgomery,East Norriton,PA,107,2.21,28.04,-0.2804,-0.2336,-0.1869,-0.3832,-0.215,-0.2617
Einstein Medical Center Philadelphia,Philadelphia,PA,44,1.84,18.18,-0.3409,-0.3409,-0.2727,-0.3182,-0.3182,-0.25
El Balconcito,Philadelphia,PA,60,3.43,60.0,0.0,0.0833,0.05,0.0667,-0.0667,0.0167
Elan Hair & Skin,Nashville,TN,80,4.06,75.0,0.225,0.225,0.0625,0.1125,0.025,0.05
Elegant Smiles,Havertown,PA,21,4.19,80.95,0.2381,0.381,-0.0952,0.0476,0.1905,0.4286
Elements Massage,Boise,ID,22,2.95,50.0,-0.0455,-0.0455,-0.2273,-0.1364,-0.1818,-0.0909
Elements Massage - Boise,Boise,ID,26,3.69,65.38,0.0,0.3462,-0.1538,-0.0385,0.0,0.0769
Elements Massage - Brentwood,Brentwood,TN,34,4.24,82.35,0.1176,0.3824,0.0882,0.1176,0.1765,0.2059
Elements Massage - Cherry Hill,Cherry Hill,NJ,57,3.81,68.42,0.1579,0.2982,0.0351,0.0877,-0.0175,0.1754
Elements Massage - Franklin,Franklin,TN,49,4.14,79.59,0.0612,0.4694,0.102,0.102,0.102,0.1224
Elements Massage - Horsham,Horsham,PA,31,4.55,87.1,0.0645,0.4516,0.0968,0.129,0.1935,0.3226
Elements Massage - Indianapolis North,Indianapolis,IN,20,3.85,65.0,0.0,0.3,0.25,0.25,0.1,0.15
Elevated Wellness,Bryn Mawr,PA,34,5.0,100.0,0.1176,0.1471,0.0294,0.2941,0.2941,0.1471
"Elliot Diamond, DPM",Philadelphia,PA,26,4.19,76.92,0.3077,0.3462,-0.0385,0.1923,0.1923,0.1923
Embassy Dental - Cool Springs,Brentwood,TN,20,2.3,30.0,0.0,0.05,-0.45,-0.2,-0.05,-0.3
Embassy Dental - Donelson,Donelson,TN,35,1.94,25.71,-0.0857,-0.1429,-0.4,-0.1143,-0.2,-0.2286
Embassy Dental - Hillsboro Village,Nashville,TN,72,1.93,22.22,-0.2361,-0.0556,-0.3472,-0.3333,-0.3611,-0.375
Empirical Point Acupuncture,Philadelphia,PA,22,5.0,100.0,0.6818,0.4545,0.0455,0.1364,0.3636,0.3182
En Vogue Medi-Spa,Southampton,PA,24,3.38,62.5,-0.125,0.0833,-0.125,0.0833,0.125,-0.1667
Encircle Acupuncture,Nashville,TN,35,4.46,85.71,0.4571,0.3143,0.2571,0.0286,0.2,0.2286
Endless Pools,Aston,PA,31,2.74,38.71,-0.0323,0.0323,-0.1935,-0.1935,-0.1935,-0.0323
Enigma Medi Spa & Laser Center,Philadelphia,PA,135,3.67,65.19,0.1185,0.2074,0.0741,0.0222,0.0074,0.037
Enjoy Massage Spa,Metairie,LA,67,4.64,91.04,0.0597,0.2239,0.2836,0.1493,0.0299,0.2537
Envision Eyecare Center,Tucson,AZ,46,4.22,80.43,0.5435,0.587,0.1304,0.1087,0.3043,0.1957
Erasable,Tampa,FL,85,4.69,92.94,0.5412,0.5647,0.0706,0.3176,0.4588,0.3765
"Eric M Wallace, DDS",Santa Barbara,CA,21,4.29,80.95,0.1905,0.3333,0.0952,0.0952,0.1905,0.2857
"Erik S Wipf, DDS",Santa Barbara,CA,67,4.94,98.51,0.4328,0.7463,0.0597,0.1791,0.2388,0.6269
Eskenazi Health,Indianapolis,IN,38,3.5,57.89,0.1316,0.3421,-0.0526,0.0263,-0.0263,0.0
Essent Spa,Bryn Mawr,PA,34,4.44,85.29,0.0882,0.2353,0.1471,0.0294,0.0588,0.1765
Essentials Massage & Facials,Riverview,FL,90,4.33,82.22,0.0444,0.2333,0.0778,0.1333,-0.0222,0.2111
Essentials Massage & Facials South Tampa,Tampa,FL,106,3.82,68.87,0.0094,0.1887,0.1038,0.0472,-0.0283,0.1321
Essentials Massage & Facials of Brandon,Brandon,FL,62,4.06,75.81,0.0323,0.3226,0.0968,0.0323,-0.0806,0.0806
Essentials Massage & Facials of Trinity,Trinity,FL,59,3.95,72.88,0.0678,0.2542,0.0339,0.0339,-0.0169,0.0678
Essentials Massage & Facials of Wesley Chapel,Wesley Chapel,FL,36,4.22,77.78,0.0278,0.1944,0.25,0.0556,0.0556,0.2222
Essentials Massage and Facials of Clearwater,Clearwater,FL,31,4.74,93.55,0.0645,0.4839,0.2258,0.0968,0.2258,0.3548
Essentials Retreat,Seminole,FL,26,2.96,46.15,0.0385,0.1538,-0.0769,-0.0769,-0.1538,-0.1154
Essentials Spa & Salon,St. Petersburg,FL,37,3.89,75.68,0.027,0.1081,0.2162,0.0541,-0.027,0.1081
Esteem Medical Spa & Salon,Reno,NV,109,4.7,91.74,0.4128,0.6055,0.0917,0.1651,0.156,0.0826
Etavele Day Spa,Sparks,NV,115,4.7,92.17,0.3478,0.2609,0.1304,0.2261,0.1565,0.2435
Eternity Med Spa,Creve Coeur,MO,22,4.32,81.82,0.2727,0.4091,-0.0909,0.0455,0.2727,0.0909
Ethos Aveda Salon,Clayton,MO,63,4.27,82.54,0.2063,0.3175,0.127,0.1111,0.127,0.0635
Euphorbia Kava Bar,New Orleans,LA,34,4.71,88.24,0.0294,0.1471,0.0882,0.0882,0.0588,0.0588
European Fitness Center,Reno,NV,100,2.31,31.0,-0.14,-0.19,-0.2,-0.11,-0.23,-0.23
European Spa,Edmonton,AB,25,4.52,88.0,0.28,0.52,0.16,0.36,0.12,0.48
Eveline Charles,Edmonton,AB,48,2.31,31.25,-0.125,-0.1875,-0.0417,-0.1667,-0.1875,0.0208
Eviama Life Spa,Philadelphia,PA,97,4.35,82.47,0.1443,0.268,0.1031,0.1443,0.0,0.2062
Evolution Primary Care,Riverview,FL,24,4.33,83.33,0.625,0.4583,-0.0417,0.4167,0.2917,0.4583
Evolutions Medical & Day Spa,Santa Barbara,CA,112,4.38,82.14,0.375,0.4464,0.0089,0.0625,0.0446,0.2232
Evolve Wellness & Aesthetics Center,Franklin,TN,37,3.22,56.76,0.0811,0.1081,-0.0811,0.027,0.0,0.0
Excel Physical Therapy - Center City,Philadelphia,PA,49,4.71,91.84,0.2449,0.6122,0.0204,0.1633,0.3061,0.3469
Excel Physical Therapy - Queens Village,Philadelphia,PA,27,4.74,92.59,0.4444,0.6296,0.0,0.037,0.3333,0.2222
Exceptional Dental,St. Petersburg,FL,63,2.78,42.86,-0.1746,0.0794,-0.2698,-0.1111,-0.1429,-0.0952
Exceptional Dental of Mid City,New Orleans,LA,37,3.65,64.86,0.1081,0.2703,0.0,0.0,-0.027,0.1351
Exodus Women's Center,Tampa,FL,25,1.08,0.0,-0.84,-0.84,-0.08,-0.48,-0.48,-0.68
Experience A Hair Spa,Indianapolis,IN,47,4.66,91.49,0.1277,0.3617,0.0851,0.0638,0.2553,0.0851
Express Care of Tampa Bay,Apollo Beach,FL,24,2.58,37.5,-0.0417,0.0,-0.125,-0.0833,-0.2083,-0.125
Express Med of King of Prussia,King of Prussia,PA,40,3.45,62.5,0.2,0.225,-0.125,0.1,-0.025,0.175
Eye & Vision Care,Santa Barbara,CA,67,4.06,74.63,0.4627,0.4627,0.0746,0.0448,0.1642,0.1791
Eye Bar,Saint Louis,MO,56,4.62,92.86,0.1786,0.5179,0.25,0.2143,0.2143,0.0893
Eye Candy Vision,Philadelphia,PA,20,3.9,70.0,0.15,0.4,0.25,-0.1,-0.1,-0.1
Eye Encounters,Philadelphia,PA,101,2.61,40.59,-0.0792,-0.0792,-0.099,-0.099,-0.2772,-0.0693
"Eye Innovations: Archima Major, OD, FAAO",Drexel Hill,PA,31,2.48,35.48,-0.2581,-0.1935,-0.3226,-0.2258,-0.3548,-0.0645
Eye Site Center,Riverview,FL,23,4.39,82.61,0.3043,0.4783,0.0435,0.0435,0.3043,0.4348
Eyecare Associates,Metairie,LA,33,4.15,78.79,0.5152,0.5455,-0.0303,0.1515,0.1515,0.1818
Eyecare Plus - Cool Springs,Franklin,TN,24,3.58,66.67,0.25,0.25,0.0417,0.125,0.0,0.0833
Eyecare Plus - Green Hills,Nashville,TN,27,3.48,62.96,0.2963,0.3333,-0.1111,-0.037,0.0,-0.0741
Eyecare Plus - Hickory Hollow,Antioch,TN,23,2.83,47.83,0.0435,0.087,-0.1304,-0.2174,-0.1304,0.1739
Eyeglass Factory,Santa Barbara,CA,74,4.28,83.78,0.0811,0.3108,0.4054,0.1081,0.0811,0.027
Eyeglass Repair,Reno,NV,51,4.51,88.24,0.0,0.1373,0.4118,0.098,0.0196,0.0392
Eyeglass World,St Petersburg,FL,30,3.37,56.67,-0.0333,0.0333,0.0667,-0.1,-0.1,0.0
Eyeglass World,Tampa,FL,31,2.81,41.94,0.0968,-0.0323,-0.0323,-0.129,-0.1935,-0.1613
Eyeglass World,Tucson,AZ,39,3.1,46.15,-0.0769,0.0769,0.1026,-0.1282,-0.1026,-0.0769
Eyeglass World,Wesley Chapel,FL,23,2.78,47.83,-0.1739,0.1304,-0.087,-0.2174,-0.087,-0.0435
Eyemart Express,Boise,ID,23,2.91,43.48,-0.1304,-0.1739,-0.087,-0.0435,0.087,-0.1739
Eyemart Express,Reno,NV,75,4.43,84.0,0.1333,0.3867,0.2933,0.1733,0.08,0.0667
Eyes on Canal,New Orleans,LA,26,4.54,88.46,0.3846,0.6923,0.1154,0.1154,0.2692,0.1538
Eyetech Visioncare,Reno,NV,20,4.4,85.0,0.25,0.75,0.15,0.15,0.25,0.35
Eyewearhaus,Creve Coeur,MO,27,4.15,81.48,0.1111,0.3333,0.1111,0.1111,0.1111,0.1111
Eyezone - Midtown,Reno,NV,23,3.78,69.57,0.1304,0.4348,0.0,-0.0435,-0.0435,-0.0435
Eyezone Nevada - South Reno,Reno,NV,30,3.8,70.0,0.2,0.3667,-0.0667,0.0,0.0667,0.2
FIT n TAN,Saint Louis,MO,25,3.48,60.0,0.08,0.32,0.24,0.04,0.04,0.16
FLOAT STL - Midtown,Saint Louis,MO,47,4.87,95.74,0.0638,0.5745,0.0851,0.2553,0.2979,0.4043
Fairmount Behavioral Health,Philadelphia,PA,24,1.33,8.33,-0.4583,-0.7083,-0.2083,-0.4167,-0.2917,-0.4583
Family Dermatology Specialists,Metairie,LA,26,4.5,92.31,0.4615,0.3846,0.0385,0.1538,0.1923,0.1538
Family Eyecare Associates,Sparks,NV,88,4.51,85.23,0.5227,0.6591,0.125,0.1818,0.2273,0.4205
Family First Chiropractic,Sparks,NV,23,4.7,91.3,0.3478,0.5652,0.0,0.0435,0.2174,0.2609
Family Quick Care Clinic,Reno,NV,28,4.25,78.57,0.6071,0.5357,0.4643,0.1071,0.1429,0.3214
Family Vision Center,Tucson,AZ,121,4.69,92.56,0.4876,0.6942,0.1901,0.1983,0.1901,0.3967
"Family, Implant & Cosmetic Dentistry",Brandon,FL,23,4.13,78.26,0.2174,0.3478,-0.0435,0.087,0.1739,0.087
Farkas Chiropractic Clinic,Saint Petersburg,FL,28,4.61,89.29,0.5,0.5714,0.0357,0.1071,0.2143,0.2857
Fashion Eye Center,Tucson,AZ,62,3.42,59.68,0.129,0.3065,-0.0806,0.0484,0.0484,0.0161
Fast Track Urgent Care,Saint Louis,MO,31,2.87,48.39,0.0323,0.129,-0.0323,0.0,0.0323,0.0323
FastMed Urgent Care,Tucson,AZ,26,3.5,61.54,0.2692,0.2308,0.0769,0.0385,0.0385,-0.0385
Feet Fetish Foot Spa,Indianapolis,IN,23,4.04,73.91,0.1304,0.1304,0.2174,0.087,0.0,0.3043
Feet First,St. Petersburg,FL,30,4.53,86.67,0.0333,0.4667,0.1667,0.0333,0.2333,0.0
Ferrara Dental,Tampa,FL,26,3.5,61.54,-0.0385,0.4231,-0.1923,-0.0385,-0.0769,0.2308
Ferris Orthodontic Group,Santa Barbara,CA,43,4.91,100.0,0.4419,0.814,0.186,0.3488,0.3023,0.5116
Fetal Vision Imaging,Levittown,PA,31,4.0,70.97,0.0645,0.2581,0.0645,0.2903,0.2903,0.1935
Fingeret Dental,Newtown,PA,32,4.88,96.88,0.3125,0.7812,0.0625,0.2188,0.3125,0.6562
First Glimpse Ultrasound,Tucson,AZ,22,4.09,77.27,-0.1364,0.0455,-0.0455,0.0455,0.0455,0.2273
Fishtown Nails Bar Cafe,Philadelphia,PA,84,4.45,85.71,0.0952,0.4643,0.1905,0.1071,0.0357,0.2381
Fit City Gym,Saint Louis,MO,35,4.09,74.29,0.0286,0.3429,0.1714,0.1143,0.0286,0.4571
Fit N Tan Salon and Spa,Saint Louis,MO,25,3.36,60.0,0.0,0.16,0.08,0.08,-0.08,0.08
Fit-Flavors,Chesterfield,MO,33,4.52,81.82,0.0606,0.303,0.0606,0.1818,0.0606,0.0606
Fit-Flavors,Saint Louis,MO,71,4.21,78.87,0.0282,0.2113,0.1831,0.1549,0.0563,0.169
Fitlife Foods - Brandon,Brandon,FL,37,4.46,83.78,0.0,0.2703,0.2162,0.1892,0.0811,0.0811
Fitlife Foods - Countryside,Clearwater,FL,22,4.05,72.73,0.0,0.4545,0.0909,0.0455,0.2273,0.0455
Fitlife Foods - South Tampa,Tampa,FL,88,4.12,77.27,0.0227,0.2955,0.25,0.0795,0.1136,0.1136
Fitness 360 - Clearwater,Clearwater,FL,31,2.16,22.58,0.0,-0.1613,-0.3226,-0.0645,-0.1613,-0.2258
Fitness For $10,Brandon,FL,25,4.08,80.0,0.0,0.32,0.28,0.2,0.04,0.64
Flex Appeal,Reno,NV,38,4.24,81.58,-0.0263,0.5,0.0,0.2368,0.0789,0.6316
Float Luxury Spa,Santa Barbara,CA,277,4.29,78.34,0.1372,0.2455,0.0217,0.1155,0.0542,0.213
Float Nashville,Nashville,TN,57,4.88,98.25,0.0526,0.4561,0.0877,0.2982,0.4211,0.2807
Float Nola,New Orleans,LA,29,4.45,86.21,0.2069,0.3103,0.0345,0.069,0.0345,0.5862
Float SNJ,Marlton,NJ,49,4.8,95.92,0.0816,0.3469,0.0408,0.3061,0.1633,0.551
Florida Behavioral Medicine,Largo,FL,43,1.6,9.3,-0.4419,-0.6512,-0.2791,-0.1163,-0.2093,-0.3488
Florida Blue - Tampa Weshore,Tampa,FL,26,1.77,19.23,-0.3462,-0.0385,-0.3846,-0.1154,-0.1923,0.0385
"Florida Dental Implants & Oral Surgery - Barry C Levine, DMD",Tampa,FL,21,4.43,85.71,0.1905,0.381,-0.0476,0.1905,0.2381,0.2857
Florida Eye Specialists & Cataract Institute - Brandon,Brandon,FL,26,3.08,53.85,0.0385,0.0769,-0.1923,0.0,-0.0385,-0.0769
Florida Medical Clinic,Tampa,FL,41,2.41,34.15,-0.0732,-0.0488,-0.2195,-0.1951,-0.122,-0.122
Florida Medical Clinic,Wesley Chapel,FL,22,2.77,45.45,-0.0909,0.0,-0.0909,0.0,-0.1818,-0.2273
Florida Orthopaedic Institute,Brandon,FL,41,2.12,26.83,-0.1951,-0.1951,-0.3171,-0.3902,-0.2439,-0.122
Florida Orthopaedic Institute,Tampa,FL,202,2.5,34.16,-0.2277,-0.0545,-0.1931,-0.2079,-0.1733,-0.0792
Florida Spine Institute,Clearwater,FL,54,2.33,33.33,-0.2593,-0.2222,-0.1667,-0.2593,-0.1852,-0.3519
Foot & Ankle Concepts,Santa Barbara,CA,37,3.59,62.16,0.1892,0.1081,-0.1351,-0.1081,-0.027,-0.1351
Foot & Salt Spa,Nashville,TN,44,3.52,63.64,0.0455,0.1364,-0.0227,0.0455,-0.0682,0.1591
Foot Dynamics,Boise,ID,29,4.34,82.76,0.1379,0.1724,0.1724,0.1034,0.069,0.0345
Foot Euphoria,Indianapolis,IN,32,3.69,68.75,0.125,0.0938,0.1562,-0.0312,-0.0312,0.0625
Foot Reflexology Center,New Orleans,LA,34,3.94,79.41,0.0,0.0588,0.1765,0.0882,-0.0588,0.0882
For Eyes,Philadelphia,PA,67,4.12,74.63,0.1194,0.4627,0.2239,0.1642,0.1194,0.1493
For Your Eyes Only 20/20,New Orleans,LA,45,3.0,48.89,0.0,0.1778,-0.0889,-0.1556,-0.1556,0.0
ForCare Medical Center,Tampa,FL,33,4.15,78.79,0.4545,0.4242,0.1212,0.2727,0.303,0.4242
Forefront Dermatology,Carmel,IN,33,2.55,33.33,-0.303,-0.0606,-0.1818,-0.2424,-0.1818,-0.0909
Forest Park Dental,Saint Louis,MO,36,3.64,63.89,0.2778,0.3333,-0.0556,-0.0278,0.0,0.25
Four Seasons Massage,Warminster,PA,34,4.35,82.35,0.0588,0.3529,0.1471,0.0882,0.0294,0.4412
Fox Chase Cancer Center,Philadelphia,PA,70,3.23,51.43,0.0714,0.2,-0.0286,0.0143,0.0143,0.0857
Fox Chase Family Eye Care,Philadelphia,PA,22,4.45,86.36,0.5,0.7273,0.0,0.2727,0.0909,0.4091
Francis Park Dentistry,St. Louis,MO,60,4.55,88.33,0.2333,0.6167,0.1667,0.0667,0.2167,0.5
Franklin Dental Care,Franklin,TN,22,3.82,72.73,0.2727,0.3182,-0.0455,-0.0909,0.0,0.0909
Fresh Vitality Medical Spa & Center for Health,St. Petersburg,FL,38,4.45,86.84,0.3158,0.7368,0.0,0.0789,0.0526,0.1316
FuWa Foot Massage,Tucson,AZ,22,4.14,77.27,0.0455,0.0909,0.0909,0.1364,0.0455,0.1818
Fusion Gyms,Philadelphia,PA,30,3.1,53.33,0.0,0.0667,-0.1667,0.0667,-0.2,0.2667
Fusion Medispa,Odessa,FL,25,4.08,76.0,0.32,0.52,0.12,-0.04,0.08,-0.04
Future Fitness,Mount Laurel,NJ,36,1.75,11.11,-0.1111,-0.2778,-0.4167,-0.1944,-0.2778,-0.2222
Future Fitness Centers,West Berlin,NJ,29,1.48,6.9,-0.1379,-0.4138,-0.4138,-0.2759,-0.3448,-0.3103
Fuwa Massage Reflexology,Tucson,AZ,45,4.02,77.78,-0.0222,0.1333,0.3111,0.0889,-0.0667,0.1333
GA Foods,Saint Petersburg,FL,25,1.16,4.0,-0.16,-0.12,-0.44,-0.24,-0.44,-0.04
Gambhir Cosmetic Medicine,King of Prussia,PA,21,3.05,47.62,0.0,0.0952,-0.0952,0.0952,-0.0952,0.1429
Garces Dental Group,Philadelphia,PA,27,4.37,85.19,0.2593,0.6296,0.1481,0.1852,0.1481,0.5926
Garden State OB/GYN - Voorhees,Voorhees,NJ,28,2.64,35.71,-0.0357,-0.2143,-0.1071,0.0,-0.2143,-0.1071
Gastroenterology Consultants,Reno,NV,76,3.12,51.32,0.1974,0.1711,-0.0658,-0.0526,0.0,0.0132
Gemini Chiropractic and Rehab,New Orleans,LA,21,4.57,90.48,0.2857,0.7143,0.0476,0.1905,0.1429,0.2857
