business_name,city,state,total_reviews,avg_stars,positive_review_ratio,doctor_care_score,staff_behavior_score,billing_cost_score,wait_time_score,communication_score,cleanliness_facility_score,stars_norm,sentiment_norm,reviews_norm,positive_aspects,negative_penalty,recommendation_score,recommendation_percentile,evidence_strength,doctor_vs_peer,staff_vs_peer,billing_vs_peer,wait_vs_peer,communication_vs_peer,cleanliness_vs_peer,stars_vs_peer,positive_ratio_vs_peer
Skin Essentials,Brentwood,TN,25,4.72,92.0,0.4,0.2,0.2,0.04,0.16,0.2,0.9299999997675,0.92,0.0085324232081765,0.24,0.12,54.63,80.76,Low,0.3263,0.0041,0.2184,0.0377,0.1554,0.1098,1.1326,28.6531
Psychic Medium Valentina,Clearwater,FL,55,4.78,94.55,0.1273,0.1818,0.0182,0.1818,0.2182,0.0182,0.94499999976375,0.9455,0.0597269624572359,0.136375,0.0999999999999999,54.61,80.7,Medium,0.0536,-0.0141,0.0366,0.1795,0.2136,-0.072,1.1926,31.2031
Clearwater Family Dental,Clearwater,FL,78,4.38,83.33,0.3462,0.5513,0.0513,0.0513,0.2692,0.3205,0.84499999978875,0.8332999999999999,0.0989761092148481,0.3718,0.0513,54.59,80.63,Medium,0.2725,0.3554,0.0697,0.049,0.2646,0.2303,0.7926,19.9831
Qin Zhang Massage Therapy,St. Petersburg,FL,28,4.82,96.43,0.0714,0.3214,0.1429,0.1429,0.0357,0.1786,0.95499999976125,0.9643,0.0136518771330825,0.151775,0.1429,54.57,80.59,Low,-0.0023,0.1255,0.1613,0.1406,0.0311,0.0884,1.2326,33.0831
Sarah Laser Medspa,Montgomeryville,PA,31,4.45,87.1,0.4839,0.4516,0.129,0.0645,0.1613,0.4194,0.8624999997843751,0.871,0.0187713310579884,0.37905,0.09675,54.55,80.55,Low,0.4102,0.2557,0.1474,0.0622,0.1567,0.3292,0.8626,23.7531
The Illustrated Lady,Santa Barbara,CA,25,4.84,96.0,0.12,0.28,0.12,0.32,0.28,0.08,0.95999999976,0.96,0.0085324232081765,0.19,0.22,54.53,80.5,Low,0.0463,0.0841,0.1384,0.3177,0.2754,-0.0102,1.2526,32.6531
Bobbi Bullock Medical Esthetics,Boise,ID,24,4.67,87.5,0.2917,0.5417,0.0,0.0417,0.0417,0.1667,0.917499999770625,0.875,0.0068259385665412,0.2604499999999999,0.02085,54.5,80.44,Low,0.218,0.3458,0.0184,0.0394,0.0371,0.0765,1.0826,24.1531
McVeigh Massage,Santa Barbara,CA,78,4.71,94.87,0.0385,0.2308,0.0641,0.0897,0.0641,0.1154,0.927499999768125,0.9487,0.0989761092148481,0.1122,0.0769,54.5,80.44,Medium,-0.0352,0.0349,0.0825,0.0874,0.0595,0.0252,1.1226,31.5231
Rittenhouse Dentists,Philadelphia,PA,118,4.36,83.9,0.2712,0.5763,0.0847,0.2034,0.1356,0.4661,0.8399999997900001,0.8390000000000001,0.1672354948802606,0.3623,0.14405,54.49,80.37,High,0.1975,0.3804,0.1031,0.2011,0.131,0.3759,0.7726,20.5531
Family Dermatology Specialists,Metairie,LA,26,4.5,92.31,0.4615,0.3846,0.0385,0.1538,0.1923,0.1538,0.87499999978125,0.9231,0.0102389078498118,0.29805,0.09615,54.48,80.29,Low,0.3878,0.1887,0.0569,0.1515,0.1877,0.0636,0.9126,28.9631
SIMPLICITY Cold Pressed Juice,Indianapolis,IN,29,4.9,100.0,0.0,0.069,0.2759,0.1379,0.1034,0.2414,0.97499999975625,1.0,0.0153583617747178,0.10345,0.2068999999999999,54.48,80.29,Low,-0.0737,-0.1269,0.2943,0.1356,0.0988,0.1512,1.3126,36.6531
"Thomas Nabors, DDS",Nashville,TN,24,4.5,83.33,0.3333,0.625,0.125,0.0833,0.25,0.4583,0.87499999978125,0.8332999999999999,0.0068259385665412,0.4166499999999999,0.1041499999999999,54.48,80.29,Low,0.2596,0.4291,0.1434,0.081,0.2454,0.3681,0.9126,19.9831
The Refuge Spa,Reno,NV,44,4.59,88.64,0.3636,0.4545,0.0682,0.1818,0.1136,0.2727,0.897499999775625,0.8864,0.0409556313992475,0.3011,0.125,54.47,80.2,Medium,0.2899,0.2586,0.0866,0.1795,0.109,0.1825,1.0026,25.2931
Dr. Jennifer L. Shane & Associates,Reno,NV,23,4.57,86.96,0.1739,0.4348,0.1304,0.087,0.3913,0.3913,0.8924999997768751,0.8695999999999999,0.0051194539249059,0.347825,0.1086999999999999,54.46,80.16,Low,0.1002,0.2389,0.1488,0.0847,0.3867,0.3011,0.9826,23.6131
Ballwin Dental Care,Ballwin,MO,23,4.48,86.96,0.4348,0.4783,0.087,0.2609,0.1739,0.5652,0.8699999997825001,0.8695999999999999,0.0051194539249059,0.41305,0.17395,54.44,80.11,Low,0.3611,0.2824,0.1054,0.2586,0.1693,0.475,0.8926,23.6131
Soulshine of Tucson,Tucson,AZ,25,4.8,96.0,0.04,0.16,0.08,0.08,0.12,0.2,0.9499999997625,0.96,0.0085324232081765,0.13,0.08,54.43,80.07,Low,-0.0337,-0.0359,0.0984,0.0777,0.1154,0.1098,1.2126,32.6531
Experience A Hair Spa,Indianapolis,IN,47,4.66,91.49,0.1277,0.3617,0.0851,0.0638,0.2553,0.0851,0.91499999977125,0.9149,0.0460750853241534,0.20745,0.0744499999999999,54.42,80.03,Medium,0.054,0.1658,0.1035,0.0615,0.2507,-0.0051,1.0726,28.1431
Southern Arizona Urgent Care,Oro Valley,AZ,171,4.23,78.95,0.5146,0.5263,0.0175,0.2164,0.1462,0.3626,0.8074999997981251,0.7895,0.2576791808869323,0.387425,0.11695,54.41,79.98,High,0.4409,0.3304,0.0359,0.2141,0.1416,0.2724,0.6426,15.6031
Kim Acupuncture Clinic,New Orleans,LA,24,4.71,91.67,0.625,0.0417,0.1667,0.125,0.1667,0.1667,0.927499999768125,0.9167,0.0068259385665412,0.250025,0.1458499999999999,54.39,79.94,Low,0.5513,-0.1542,0.1851,0.1227,0.1621,0.0765,1.1226,28.3231
Zionsville Eyecare,Zionsville,IN,26,4.46,88.46,0.5769,0.5769,0.2692,0.1154,0.1923,0.2692,0.86499999978375,0.8845999999999999,0.0102389078498118,0.403825,0.1923,54.37,79.9,Low,0.5032,0.381,0.2876,0.1131,0.1877,0.179,0.8726,25.1131
Toothfairy Pediatric Dental - Reno,Reno,NV,21,4.62,85.71,0.2381,0.7143,0.0952,0.1429,0.1905,0.2381,0.90499999977375,0.8571,0.0017064846416353,0.34525,0.11905,54.32,79.85,Low,0.1644,0.5184,0.1136,0.1406,0.1859,0.1479,1.0326,22.3631
Community Acupuncture,Saint Louis,MO,23,4.52,95.65,0.3913,0.2174,0.3913,0.0435,0.2174,0.3913,0.8799999997799999,0.9565,0.0051194539249059,0.30435,0.2173999999999999,54.3,79.81,Low,0.3176,0.0215,0.4097,0.0412,0.2128,0.3011,0.9326,32.3031
Center For Restorative Breast Surgery,New Orleans,LA,24,4.5,87.5,0.4583,0.3333,0.0417,0.125,0.3333,0.25,0.87499999978125,0.875,0.0068259385665412,0.343725,0.08335,54.27,79.77,Low,0.3846,0.1374,0.0601,0.1227,0.3287,0.1598,0.9126,24.1531
CPAP & More,Sparks,NV,26,4.65,92.31,0.5385,0.4615,0.4615,0.1538,0.2308,0.1154,0.9124999997718752,0.9231,0.0102389078498118,0.3365499999999999,0.30765,54.26,79.7,Low,0.4648,0.2656,0.4799,0.1515,0.2262,0.0252,1.0626,28.9631
Skin Appeal,Tucson,AZ,69,4.57,88.41,0.2754,0.3623,0.0725,0.1014,0.2464,0.1159,0.8924999997768751,0.8841,0.0836177474401303,0.2499999999999999,0.08695,54.26,79.7,Medium,0.2017,0.1664,0.0909,0.0991,0.2418,0.0257,0.9826,25.0631
Lavender Foot Spa,Philadelphia,PA,67,4.7,94.03,0.0597,0.3433,0.2388,0.1343,0.0896,0.2388,0.92499999976875,0.9403,0.0802047781568597,0.18285,0.18655,54.25,79.61,Medium,-0.014,0.1474,0.2572,0.132,0.085,0.1486,1.1126,30.6831
Pearle Vision,Brandon,FL,21,4.57,90.48,0.5714,0.619,0.2857,0.2857,0.2381,0.0952,0.8924999997768751,0.9048,0.0017064846416353,0.3809249999999999,0.2857,54.18,79.5,Low,0.4977,0.4231,0.3041,0.2834,0.2335,0.005,0.9826,27.1331
Session Yoga,Tucson,AZ,67,4.64,95.52,0.0448,0.2836,0.1493,0.0597,0.0448,0.194,0.9099999997725,0.9552,0.0802047781568597,0.1418,0.1045,54.17,79.46,Medium,-0.0289,0.0877,0.1677,0.0574,0.0402,0.1038,1.0526,32.1731
St. Pete Bicycle & Fitness,Largo,FL,57,4.68,92.98,0.1404,0.5088,0.2281,0.1404,0.1404,0.0526,0.91999999977,0.9298,0.0631399317405065,0.21055,0.18425,54.16,79.42,Medium,0.0667,0.3129,0.2465,0.1381,0.1358,-0.0376,1.0926,29.6331
Reflections Therapeutic Massage,Clearwater,FL,27,4.56,92.59,0.1481,0.2963,0.037,0.0741,0.1481,0.3333,0.8899999997774999,0.9259,0.0119453924914471,0.23145,0.05555,54.1,79.37,Low,0.0744,0.1004,0.0554,0.0718,0.1435,0.2431,0.9726,29.2431
Biggest Little Baby,Reno,NV,39,4.64,89.74,0.1282,0.4103,0.0769,-0.0256,0.1795,0.1282,0.9099999997725,0.8974,0.0324232081910709,0.21155,0.03845,54.07,79.33,Low,0.0545,0.2144,0.0953,-0.0279,0.1749,0.038,1.0526,26.3931
Prime Fitness RX,New Orleans,LA,32,4.5,87.5,0.1562,0.4062,0.0312,0.0625,0.0625,0.5938,0.87499999978125,0.875,0.0204778156996237,0.304675,0.04685,54.06,79.29,Low,0.0825,0.2103,0.0496,0.0602,0.0579,0.5036,0.9126,24.1531
Ada Vision Center,Boise,ID,37,4.38,89.19,0.2973,0.6486,0.0811,0.2432,0.2973,0.2703,0.84499999978875,0.8919,0.0290102389078003,0.3783749999999999,0.16215,54.03,79.24,Low,0.2236,0.4527,0.0995,0.2409,0.2927,0.1801,0.7926,25.8431
Outsiders Hair Studio & Salon,Reno,NV,59,4.69,91.53,0.0847,0.2203,0.0678,0.0678,0.1864,0.1356,0.9224999997693752,0.9153,0.0665529010237772,0.15675,0.0678,54.01,79.18,Medium,0.011,0.0244,0.0862,0.0655,0.1818,0.0454,1.1026,28.1831
Paul Rubin's Chiropractic and Wellness Center,Philadelphia,PA,28,4.46,89.29,0.3571,0.5,0.0357,0.1429,0.1786,0.25,0.86499999978375,0.8929,0.0136518771330825,0.321425,0.0893,54.01,79.18,Low,0.2834,0.3041,0.0541,0.1406,0.174,0.1598,0.8726,25.9431
Bond Fitness,Santa Barbara,CA,28,4.79,92.86,0.0357,0.3929,-0.0357,0.1429,0.0714,0.0714,0.947499999763125,0.9286,0.0136518771330825,0.14285,0.07145,53.99,79.09,Low,-0.038,0.197,-0.0173,0.1406,0.0668,-0.0188,1.2026,29.5131
Eye Bar,Saint Louis,MO,56,4.62,92.86,0.1786,0.5179,0.25,0.2143,0.2143,0.0893,0.90499999977375,0.9286,0.0614334470988712,0.250025,0.23215,53.97,79.03,Medium,0.1049,0.322,0.2684,0.212,0.2097,-0.0009,1.0326,29.5131
Silver State Hearing & Balance,Reno,NV,24,4.54,87.5,0.125,0.7083,0.0,0.0833,0.0833,0.25,0.88499999977875,0.875,0.0068259385665412,0.29165,0.04165,53.94,78.98,Low,0.0513,0.5124,0.0184,0.081,0.0787,0.1598,0.9526,24.1531
Grateful Plate,Philadelphia,PA,25,5.0,100.0,0.08,0.08,0.08,0.68,0.16,0.2,0.99999999975,1.0,0.0085324232081765,0.13,0.38,53.93,78.94,Low,0.0063,-0.1159,0.0984,0.6777,0.1554,0.1098,1.4126,36.6531
U City Foot Massage & Relaxing Center,Saint Louis,MO,65,4.74,93.85,0.0462,0.2769,0.2462,0.0769,0.0308,0.2154,0.93499999976625,0.9385,0.076791808873589,0.142325,0.16155,53.9,78.9,Medium,-0.0275,0.081,0.2646,0.0746,0.0262,0.1252,1.1526,30.5031
Society Hill Dental,Philadelphia,PA,42,4.38,85.71,0.2857,0.6667,-0.0238,0.1429,0.1667,0.3333,0.84499999978875,0.8571,0.0375426621159768,0.3631,0.07145,53.89,78.85,Medium,0.212,0.4708,-0.0054,0.1406,0.1621,0.2431,0.7926,22.3631
3D Keepsake Imaging,Reno,NV,40,4.58,90.0,0.175,0.45,0.2,0.3,0.225,0.45,0.89499999977625,0.9,0.0341296928327062,0.325,0.25,53.86,78.81,Medium,0.1013,0.2541,0.2184,0.2977,0.2204,0.3598,0.9926,26.6531
Heavenly Spa,East Norriton,PA,77,4.73,92.21,0.1558,0.1299,0.1688,0.0779,0.026,0.2078,0.9324999997668753,0.9221,0.0972696245732128,0.129875,0.12335,53.85,78.75,Medium,0.0821,-0.066,0.1872,0.0756,0.0214,0.1176,1.1426,28.8631
Meagan Q Macklin,Philadelphia,PA,24,4.75,95.83,0.125,0.2083,0.0833,0.2083,0.2083,0.0833,0.937499999765625,0.9583,0.0068259385665412,0.156225,0.1458,53.85,78.75,Low,0.0513,0.0124,0.1017,0.206,0.2037,-0.0069,1.1626,32.4831
Fresh Vitality Medical Spa & Center for Health,St. Petersburg,FL,38,4.45,86.84,0.3158,0.7368,0.0,0.0789,0.0526,0.1316,0.8624999997843751,0.8684000000000001,0.0307167235494356,0.3092,0.03945,53.84,78.68,Low,0.2421,0.5409,0.0184,0.0766,0.048,0.0414,0.8626,23.4931
Soho Wellness & Med Spa,Tampa,FL,119,4.57,85.71,0.084,0.3782,0.0672,0.1092,0.1176,0.2101,0.8924999997768751,0.8571,0.168941979521896,0.197475,0.0882,53.8,78.61,High,0.0103,0.1823,0.0856,0.1069,0.113,0.1199,0.9826,22.3631
Nok's Expert Thai Massage Center,Santa Barbara,CA,53,4.79,96.23,0.0943,0.1698,0.1132,0.1321,0.0,0.0755,0.947499999763125,0.9623,0.0563139931739653,0.0849,0.12265,53.8,78.61,Medium,0.0206,-0.0261,0.1316,0.1298,-0.0046,-0.0147,1.2026,32.8831
Southwest Idaho Ear Nose and Throat,Boise,ID,23,4.22,86.96,0.4783,0.6087,-0.0435,0.1739,0.4348,0.2174,0.8049999997987499,0.8695999999999999,0.0051194539249059,0.4348,0.08695,53.79,78.55,Low,0.4046,0.4128,-0.0251,0.1716,0.4302,0.1272,0.6326,23.6131
Audubon Dental Group,New Orleans,LA,126,4.39,84.13,0.1667,0.5635,0.1667,0.2143,0.1825,0.3889,0.847499999788125,0.8412999999999999,0.1808873720133432,0.3254,0.1905,53.77,78.48,High,0.093,0.3676,0.1851,0.212,0.1779,0.2987,0.8026,20.7831
"Terry Song, DDS - Access Dental Care",Reno,NV,42,4.38,85.71,0.4048,0.6667,0.1667,0.1667,0.1429,0.4048,0.84499999978875,0.8571,0.0375426621159768,0.4048,0.1667,53.77,78.48,Medium,0.3311,0.4708,0.1851,0.1644,0.1383,0.3146,0.7926,22.3631
Body+Beauty Lab - Philadelphia,Philadelphia,PA,29,4.52,86.21,0.4483,0.2759,0.0,0.069,0.3448,0.1034,0.8799999997799999,0.8621,0.0153583617747178,0.2930999999999999,0.0345,53.7,78.42,Low,0.3746,0.08,0.0184,0.0667,0.3402,0.0132,0.9326,22.8631
Pennsylvania Optometrics,Philadelphia,PA,63,4.38,85.71,0.3968,0.6032,0.0952,0.1429,0.1905,0.2063,0.84499999978875,0.8571,0.0733788395903184,0.3492,0.11905,53.67,78.38,Medium,0.3231,0.4073,0.1136,0.1406,0.1859,0.1161,0.7926,22.3631
"Veronika V Vazquez, DDS",Reno,NV,40,4.32,82.5,0.375,0.5,0.075,-0.025,0.225,0.5,0.8299999997925,0.825,0.0341296928327062,0.4,0.0375,53.66,78.33,Medium,0.3013,0.3041,0.0934,-0.0273,0.2204,0.4098,0.7326,19.1531
Butler University,Indianapolis,IN,20,4.75,95.0,0.2,0.05,0.05,0.1,0.1,0.15,0.937499999765625,0.95,0.0,0.125,0.075,53.62,78.27,Low,0.1263,-0.1459,0.0684,0.0977,0.0954,0.0598,1.1626,31.6531
La Beaute Spa,Indianapolis,IN,24,4.58,91.67,0.4167,0.3333,0.0417,0.125,0.0,0.1667,0.89499999977625,0.9167,0.0068259385665412,0.229175,0.08335,53.62,78.27,Low,0.343,0.1374,0.0601,0.1227,-0.0046,0.0765,0.9926,28.3231
South Tampa Dentistry,Tampa,FL,87,4.39,85.06,0.2184,0.6092,0.1954,0.1379,0.1724,0.3678,0.847499999788125,0.8506,0.1143344709895659,0.34195,0.16665,53.58,78.2,Medium,0.1447,0.4133,0.2138,0.1356,0.1678,0.2776,0.8026,21.7131
Sweet Treat Hut,Philadelphia,PA,44,4.68,95.45,0.0,0.2955,0.0909,0.1591,0.0455,0.2045,0.91999999977,0.9545,0.0409556313992475,0.136375,0.125,53.55,78.16,Medium,-0.0737,0.0996,0.1093,0.1568,0.0409,0.1143,1.0926,32.1031
Dr Melman's Eyeland,Voorhees,NJ,25,4.52,88.0,0.36,0.6,0.16,0.24,0.12,0.32,0.8799999997799999,0.88,0.0085324232081765,0.35,0.2,53.53,78.09,Low,0.2863,0.4041,0.1784,0.2377,0.1154,0.2298,0.9326,24.6531
Massage Heights Ironworks,Indianapolis,IN,53,4.49,86.79,0.2075,0.4528,0.1509,0.1321,0.2453,0.3396,0.8724999997818751,0.8679000000000001,0.0563139931739653,0.3113,0.1415,53.53,78.09,Medium,0.1338,0.2569,0.1693,0.1298,0.2407,0.2494,0.9026,23.4431
Kremer Eye Center,King of Prussia,PA,49,4.51,85.71,0.3673,0.5102,0.0612,0.3469,0.3469,0.1837,0.877499999780625,0.8571,0.049488054607424,0.352025,0.2040499999999999,53.49,77.99,Medium,0.2936,0.3143,0.0796,0.3446,0.3423,0.0935,0.9226,22.3631
Float Luxury Spa,Santa Barbara,CA,277,4.29,78.34,0.1372,0.2455,0.0217,0.1155,0.0542,0.213,0.822499999794375,0.7834,0.4385665529002755,0.1624749999999999,0.0686,53.4,77.94,High,0.0635,0.0496,0.0401,0.1132,0.0496,0.1228,0.7026,14.9931
Luckey EyeCare,Wesley Chapel,FL,21,4.43,85.71,0.5714,0.619,0.2381,0.2857,0.1429,0.4286,0.857499999785625,0.8571,0.0017064846416353,0.4404749999999999,0.2619,53.37,77.9,Low,0.4977,0.4231,0.2565,0.2834,0.1383,0.3384,0.8426,22.3631
Capitol Dental,Boise,ID,23,4.48,86.96,0.2609,0.5652,0.1739,0.2174,0.3043,0.3478,0.8699999997825001,0.8695999999999999,0.0051194539249059,0.36955,0.19565,53.35,77.85,Low,0.1872,0.3693,0.1923,0.2151,0.2997,0.2576,0.8926,23.6131
AromaG's Botanica - The Aromagregory Company,Nashville,TN,27,4.78,92.59,0.0,0.4815,0.1852,0.1111,0.037,0.1111,0.94499999976375,0.9259,0.0119453924914471,0.1573999999999999,0.14815,53.34,77.81,Low,-0.0737,0.2856,0.2036,0.1088,0.0324,0.0209,1.1926,29.2431
Eye Site Center,Riverview,FL,23,4.39,82.61,0.3043,0.4783,0.0435,0.0435,0.3043,0.4348,0.847499999788125,0.8261,0.0051194539249059,0.380425,0.0435,53.33,77.72,Low,0.2306,0.2824,0.0619,0.0412,0.2997,0.3446,0.8026,19.2631
Evolutions Medical & Day Spa,Santa Barbara,CA,112,4.38,82.14,0.375,0.4464,0.0089,0.0625,0.0446,0.2232,0.84499999978875,0.8214,0.1569965870304488,0.2723,0.0357,53.33,77.72,High,0.3013,0.2505,0.0273,0.0602,0.04,0.133,0.7926,18.7931
Primary Eye Care,New Orleans,LA,26,4.5,84.62,0.3462,0.7308,0.1538,0.1154,0.0769,0.2692,0.87499999978125,0.8462000000000001,0.0102389078498118,0.3557749999999999,0.1346,53.33,77.72,Low,0.2725,0.5349,0.1722,0.1131,0.0723,0.179,0.9126,21.2731
Simply Balanced,Nashville,TN,28,4.79,96.43,0.0,0.2857,0.0357,0.5,0.1071,0.25,0.947499999763125,0.9643,0.0136518771330825,0.1607,0.26785,53.27,77.64,Low,-0.0737,0.0898,0.0541,0.4977,0.1025,0.1598,1.2026,33.0831
Indiana Wellness College,Indianapolis,IN,37,4.51,91.89,0.2162,0.4865,0.4054,0.2432,0.1622,0.4865,0.877499999780625,0.9189,0.0290102389078003,0.33785,0.3243,53.25,77.57,Low,0.1425,0.2906,0.4238,0.2409,0.1576,0.3963,0.9226,28.5431
Eyetech Visioncare,Reno,NV,20,4.4,85.0,0.25,0.75,0.15,0.15,0.25,0.35,0.8499999997875001,0.85,0.0,0.4,0.15,53.25,77.57,Low,0.1763,0.5541,0.1684,0.1477,0.2454,0.2598,0.8126,21.6531
Garces Dental Group,Philadelphia,PA,27,4.37,85.19,0.2593,0.6296,0.1481,0.1852,0.1481,0.5926,0.8424999997893751,0.8519,0.0119453924914471,0.4074,0.16665,53.23,77.49,Low,0.1856,0.4337,0.1665,0.1829,0.1435,0.5024,0.7826,21.8431
Spa Solai - 6th,Tucson,AZ,43,4.53,90.7,0.1628,0.3488,0.093,0.1163,0.1395,0.2558,0.8824999997793751,0.907,0.0392491467576122,0.226725,0.1046499999999999,53.23,77.49,Medium,0.0891,0.1529,0.1114,0.114,0.1349,0.1656,0.9426,27.3531
City Hydration,Philadelphia,PA,26,4.69,88.46,0.1538,0.3077,0.0385,0.1538,0.1923,0.1923,0.9224999997693752,0.8845999999999999,0.0102389078498118,0.211525,0.09615,53.21,77.42,Low,0.0801,0.1118,0.0569,0.1515,0.1877,0.1021,1.1026,25.1131
Body Mechanix Massage & Wellness LLC,Metairie,LA,68,4.65,92.65,0.0588,0.1471,0.0294,0.1618,0.1618,0.1029,0.9124999997718752,0.9265,0.081911262798495,0.11765,0.0956,53.16,77.38,Medium,-0.0149,-0.0488,0.0478,0.1595,0.1572,0.0127,1.0626,29.3031
Spavia Nashville,Nashville,TN,47,4.53,89.36,0.1489,0.4043,0.0638,0.1277,-0.0213,0.383,0.8824999997793751,0.8936,0.0460750853241534,0.228725,0.09575,53.12,77.23,Medium,0.0752,0.2084,0.0822,0.1254,-0.0259,0.2928,0.9426,26.0131
Reno Massage & Wellness,Reno,NV,32,4.75,93.75,0.125,0.125,0.125,0.0938,0.125,0.0938,0.937499999765625,0.9375,0.0204778156996237,0.1172,0.1094,53.12,77.23,Low,0.0513,-0.0709,0.1434,0.0915,0.1204,0.0036,1.1626,30.4031
Murphy Plastic Surgery & Medical Spa,Reno,NV,26,4.42,84.62,0.4231,0.5,-0.0385,0.0385,0.2308,0.1154,0.85499999978625,0.8462000000000001,0.0102389078498118,0.317325,0.01925,53.11,77.16,Low,0.3494,0.3041,-0.0201,0.0362,0.2262,0.0252,0.8326,21.2731
Philadelphia Dentistry,Philadelphia,PA,251,4.07,76.1,0.2191,0.506,0.0359,0.1514,0.1116,0.3745,0.7674999998081251,0.7609999999999999,0.3941979522177573,0.3028,0.09365,53.08,77.12,High,0.1454,0.3101,0.0543,0.1491,0.107,0.2843,0.4826,12.7531
Posh Medical Spa,Reno,NV,99,4.49,87.88,0.101,0.3333,0.0404,0.101,0.1919,0.0909,0.8724999997818751,0.8787999999999999,0.1348122866891897,0.179275,0.0707,53.05,77.07,Medium,0.0273,0.1374,0.0588,0.0987,0.1873,0.0007,0.9026,24.5331
Pinnacle Wellness Spa,Reno,NV,21,4.48,85.71,0.3333,0.2381,0.0,0.2381,0.1905,0.5714,0.8699999997825001,0.8571,0.0017064846416353,0.333325,0.11905,53.03,77.01,Low,0.2596,0.0422,0.0184,0.2358,0.1859,0.4812,0.8926,22.3631
Advanced Chiropractic of Philadelphia,Philadelphia,PA,79,4.46,86.08,0.3924,0.3291,0.1013,0.1646,0.0759,0.2785,0.86499999978375,0.8608,0.1006825938564834,0.268975,0.13295,53.03,77.01,Medium,0.3187,0.1332,0.1197,0.1623,0.0713,0.1883,0.8726,22.7331
Chiara Dental,Tucson,AZ,36,4.42,86.11,0.3333,0.5833,0.25,0.2778,0.2222,0.4722,0.85499999978625,0.8611,0.027303754266165,0.40275,0.2639,53.0,76.94,Low,0.2596,0.3874,0.2684,0.2755,0.2176,0.382,0.8326,22.7631
Evolution Primary Care,Riverview,FL,24,4.33,83.33,0.625,0.4583,-0.0417,0.4167,0.2917,0.4583,0.8324999997918751,0.8332999999999999,0.0068259385665412,0.458325,0.20835,52.99,76.9,Low,0.5513,0.2624,-0.0233,0.4144,0.2871,0.3681,0.7426,19.9831
AppleOne Employment Services,Santa Barbara,CA,22,4.45,86.36,0.3182,0.4545,0.0,0.2273,0.4091,0.1364,0.8624999997843751,0.8636,0.0034129692832706,0.32955,0.11365,52.97,76.86,Low,0.2445,0.2586,0.0184,0.225,0.4045,0.0462,0.8626,23.0131
La Chele Medical Aesthetics,New Hope,PA,26,4.58,88.46,0.1923,0.3846,0.0385,0.1538,0.1538,0.2308,0.89499999977625,0.8845999999999999,0.0102389078498118,0.2403749999999999,0.09615,52.96,76.81,Low,0.1186,0.1887,0.0569,0.1515,0.1492,0.1406,0.9926,25.1131
Results Transformation Center,Sparks,NV,90,4.56,93.33,0.1222,0.2,0.1333,0.2556,0.1556,0.1333,0.8899999997774999,0.9333,0.1194539249144719,0.152775,0.19445,52.94,76.77,Medium,0.0485,0.0041,0.1517,0.2533,0.151,0.0431,0.9726,29.9831
Body Restoration Spa,Philadelphia,PA,192,4.29,85.42,0.125,0.4167,0.2344,0.2708,0.1406,0.3229,0.822499999794375,0.8542000000000001,0.2935153583612738,0.2513,0.2526,52.93,76.68,High,0.0513,0.2208,0.2528,0.2685,0.136,0.2327,0.7026,22.0731
European Spa,Edmonton,AB,25,4.52,88.0,0.28,0.52,0.16,0.36,0.12,0.48,0.8799999997799999,0.88,0.0085324232081765,0.35,0.26,52.93,76.68,Low,0.2063,0.3241,0.1784,0.3577,0.1154,0.3898,0.9326,24.6531
California Trike,Santa Barbara,CA,23,4.83,95.65,0.0435,0.3478,0.3043,0.1739,0.1304,0.0,0.957499999760625,0.9565,0.0051194539249059,0.1304249999999999,0.2391,52.93,76.68,Low,-0.0302,0.1519,0.3227,0.1716,0.1258,-0.0902,1.2426,32.3031
Upscale Massage,Santa Barbara,CA,58,4.57,91.38,0.0345,0.4138,0.2241,0.0862,0.1207,0.2069,0.8924999997768751,0.9138,0.0648464163821419,0.193975,0.15515,52.92,76.6,Medium,-0.0392,0.2179,0.2425,0.0839,0.1161,0.1167,0.9826,28.0331
DermaCenter Medical Spa,Philadelphia,PA,29,4.62,89.66,0.5172,0.2759,0.1379,0.1724,0.1034,0.0345,0.90499999977375,0.8966,0.0153583617747178,0.2327499999999999,0.15515,52.9,76.55,Low,0.4435,0.08,0.1563,0.1701,0.0988,-0.0557,1.0326,26.3131
Urgent Care by Urgent Specialists,Tucson,AZ,23,4.3,82.61,0.6957,0.6087,-0.1304,0.2609,0.1739,0.2609,0.8249999997937499,0.8261,0.0051194539249059,0.4347999999999999,0.13045,52.87,76.49,Low,0.622,0.4128,-0.112,0.2586,0.1693,0.1707,0.7126,19.2631
Cardio Kickfit,Reno,NV,20,4.75,95.0,0.1,0.15,0.0,0.1,0.0,0.05,0.937499999765625,0.95,0.0,0.075,0.05,52.87,76.49,Low,0.0263,-0.0459,0.0184,0.0977,-0.0046,-0.0402,1.1626,31.6531
Float Nola,New Orleans,LA,29,4.45,86.21,0.2069,0.3103,0.0345,0.069,0.0345,0.5862,0.8624999997843751,0.8621,0.0153583617747178,0.284475,0.05175,52.83,76.42,Low,0.1332,0.1144,0.0529,0.0667,0.0299,0.496,0.8626,22.8631
Prestige Fitness,Tucson,AZ,97,4.37,85.57,0.1753,0.3608,0.0619,0.1649,0.1959,0.3299,0.8424999997893751,0.8556999999999999,0.1313993174059191,0.265475,0.1134,52.81,76.38,Medium,0.1016,0.1649,0.0803,0.1626,0.1913,0.2397,0.7826,22.2231
